,density,firemans,Run,fine,onfire,width,height
0,0.5,0.3,0,592,0,100,100
1,0.5,0.3,1,763,0,100,100
2,0.5,0.3,2,400,0,100,100
3,0.5,0.3,3,450,0,100,100
4,0.5,0.3,4,476,0,100,100
5,0.5,0.3,5,454,0,100,100
6,0.5,0.3,6,558,0,100,100
7,0.5,0.3,7,902,0,100,100
8,0.5,0.3,8,671,0,100,100
9,0.5,0.3,9,512,0,100,100
10,0.5,0.6,10,4922,0,100,100
11,0.5,0.6,11,4949,0,100,100
12,0.5,0.6,12,4886,0,100,100
13,0.5,0.6,13,4946,0,100,100
14,0.5,0.6,14,4836,0,100,100
15,0.5,0.6,15,4810,0,100,100
16,0.5,0.6,16,5006,0,100,100
17,0.5,0.6,17,4880,0,100,100
18,0.5,0.6,18,4837,0,100,100
19,0.5,0.6,19,4821,0,100,100
20,0.5,0.6,20,4882,0,100,100
21,0.5,0.6,21,4928,0,100,100
22,0.5,0.6,22,4818,0,100,100
23,0.5,0.6,23,4940,0,100,100
24,0.5,0.6,24,4789,0,100,100
25,0.5,0.6,25,4755,0,100,100
26,0.5,0.6,26,4884,0,100,100
27,0.5,0.6,27,4797,0,100,100
28,0.5,0.6,28,4811,0,100,100
29,0.5,0.6,29,4901,0,100,100
30,0.5,0.75,30,4967,0,100,100
31,0.5,0.75,31,4971,0,100,100
32,0.5,0.75,32,4957,0,100,100
33,0.5,0.75,33,5004,0,100,100
34,0.5,0.75,34,4932,0,100,100
35,0.5,0.75,35,4942,0,100,100
36,0.5,0.75,36,4944,0,100,100
37,0.5,0.75,37,4867,0,100,100
38,0.5,0.75,38,4946,0,100,100
39,0.5,0.75,39,4954,0,100,100
40,0.7,0.3,40,130,0,100,100
41,0.7,0.3,41,165,0,100,100
42,0.7,0.3,42,135,0,100,100
43,0.7,0.3,43,146,0,100,100
44,0.7,0.3,44,133,0,100,100
45,0.7,0.3,45,130,0,100,100
46,0.7,0.3,46,142,0,100,100
47,0.7,0.3,47,142,0,100,100
48,0.7,0.3,48,126,0,100,100
49,0.7,0.3,49,109,0,100,100
50,0.7,0.6,50,3292,0,100,100
51,0.7,0.6,51,4664,0,100,100
52,0.7,0.6,52,3319,15,100,100
53,0.7,0.6,53,3828,0,100,100
54,0.7,0.6,54,2124,48,100,100
55,0.7,0.6,55,5649,0,100,100
56,0.7,0.6,56,5594,0,100,100
57,0.7,0.6,57,2952,67,100,100
58,0.7,0.6,58,4510,0,100,100
59,0.7,0.6,59,4982,0,100,100
60,0.7,0.6,60,4550,1,100,100
61,0.7,0.6,61,2855,0,100,100
62,0.7,0.6,62,5645,0,100,100
63,0.7,0.6,63,4692,0,100,100
64,0.7,0.6,64,2112,0,100,100
65,0.7,0.6,65,2586,2,100,100
66,0.7,0.6,66,4923,0,100,100
67,0.7,0.6,67,4960,0,100,100
68,0.7,0.6,68,2311,0,100,100
69,0.7,0.6,69,2566,0,100,100
70,0.7,0.75,70,6875,0,100,100
71,0.7,0.75,71,6913,0,100,100
72,0.7,0.75,72,6907,0,100,100
73,0.7,0.75,73,6980,0,100,100
74,0.7,0.75,74,7012,0,100,100
75,0.7,0.75,75,6853,0,100,100
76,0.7,0.75,76,6900,0,100,100
77,0.7,0.75,77,6885,0,100,100
78,0.7,0.75,78,6933,0,100,100
79,0.7,0.75,79,6795,0,100,100
80,0.9,0.3,80,148,0,100,100
81,0.9,0.3,81,125,0,100,100
82,0.9,0.3,82,129,0,100,100
83,0.9,0.3,83,150,0,100,100
84,0.9,0.3,84,144,0,100,100
85,0.9,0.3,85,159,0,100,100
86,0.9,0.3,86,142,0,100,100
87,0.9,0.3,87,141,0,100,100
88,0.9,0.3,88,124,0,100,100
89,0.9,0.3,89,148,0,100,100
90,0.9,0.6,90,1181,0,100,100
91,0.9,0.6,91,1183,0,100,100
92,0.9,0.6,92,1219,0,100,100
93,0.9,0.6,93,1193,0,100,100
94,0.9,0.6,94,1208,0,100,100
95,0.9,0.6,95,1242,0,100,100
96,0.9,0.6,96,1291,0,100,100
97,0.9,0.6,97,1276,0,100,100
98,0.9,0.6,98,1181,0,100,100
99,0.9,0.6,99,1191,0,100,100
100,0.9,0.6,100,1222,0,100,100
101,0.9,0.6,101,1228,0,100,100
102,0.9,0.6,102,1168,0,100,100
103,0.9,0.6,103,1284,0,100,100
104,0.9,0.6,104,1252,0,100,100
105,0.9,0.6,105,1193,0,100,100
106,0.9,0.6,106,1196,0,100,100
107,0.9,0.6,107,1270,0,100,100
108,0.9,0.6,108,1222,0,100,100
109,0.9,0.6,109,1174,0,100,100
110,0.9,0.75,110,8702,0,100,100
111,0.9,0.75,111,8599,0,100,100
112,0.9,0.75,112,8632,0,100,100
113,0.9,0.75,113,8802,0,100,100
114,0.9,0.75,114,8733,0,100,100
115,0.9,0.75,115,8317,0,100,100
116,0.9,0.75,116,8757,0,100,100
117,0.9,0.75,117,8612,0,100,100
118,0.9,0.75,118,8810,0,100,100
119,0.9,0.75,119,8463,0,100,100
